sample_id,total_loss,cover_loss,secret_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber,text_acc
825,0.0027975228,0.0024989683,0.00029855457,26.022392,0.96017265,35.249763,0.89207435,0.22138468424479166,0.0
826,0.00096635567,0.0005472451,0.00041911058,32.61818,0.99109316,33.77671,0.97707623,0.3084615071614583,0.0
827,0.0011319764,0.0007459374,0.00038603897,31.272976,0.9780906,34.133686,0.98394436,0.3133036295572917,0.0
828,0.004562181,0.0037095156,0.0008526656,24.306828,0.973882,30.692211,0.9713445,0.3314412434895833,0.0
829,0.0010187281,0.0006050287,0.00041369948,32.18224,0.9804314,33.83315,0.9779138,0.3050537109375,0.0
830,0.009673628,0.008918074,0.00075555395,20.497288,0.92193675,31.217344,0.9632206,0.3212890625,0.0
831,0.0016919728,0.0011252278,0.0005667451,29.487593,0.9811713,32.46612,0.9856448,0.32989501953125,0.0
832,0.001458803,0.00093609013,0.00052271277,30.286821,0.9564268,32.817368,0.9892395,0.316253662109375,0.0
833,0.002396517,0.0015055793,0.0008909377,28.222963,0.9895857,30.501526,0.9389093,0.338623046875,0.0
834,0.0054861903,0.0050504897,0.00043570076,22.966663,0.9781275,33.608116,0.9735176,0.3067728678385417,0.0
835,0.002992617,0.0024486126,0.00054400443,26.110798,0.95537204,32.643974,0.8846027,0.3078104654947917,0.0
836,0.0019548356,0.0014498289,0.0005050067,28.386831,0.984842,32.96703,0.99018496,0.3183186848958333,0.0
837,0.021459026,0.020501416,0.00095760985,16.88216,0.85820436,30.188114,0.95010215,0.3222147623697917,0.0
838,0.0016152106,0.0011826262,0.00043258432,29.271524,0.9707,33.63929,0.98335963,0.305908203125,0.0
839,0.0014330754,0.00095021795,0.00048285746,30.221767,0.958231,33.161808,0.9226141,0.286041259765625,0.0
840,0.003450389,0.0027662762,0.0006841129,25.581043,0.96970797,31.648722,0.9710683,0.3304443359375,0.0
841,0.0010651917,0.0007010572,0.0003641345,31.542463,0.9632182,34.38738,0.97960377,0.3007914225260417,0.0
842,0.0013360708,0.0009653565,0.00037071438,30.153122,0.9715416,34.309605,0.980169,0.3027547200520833,0.0
843,0.0024015014,0.0014262862,0.0009752152,28.457933,0.97172266,30.108994,0.9341409,0.3219095865885417,0.0
844,0.00085450226,0.00036285125,0.000491651,34.402714,0.98779964,33.08343,0.97984576,0.31292724609375,0.0
845,0.0016532812,0.0010460132,0.00060726795,29.804626,0.98926467,32.166195,0.9849121,0.3122660319010417,0.0
846,0.0012182009,0.0007090549,0.000509146,31.493198,0.9772952,32.931576,0.9772444,0.3284098307291667,0.0
847,0.001836611,0.00061683165,0.0012197794,32.09833,0.9592739,29.137186,0.96340066,0.3373006184895833,0.0
848,0.001867282,0.0014137998,0.0004534821,28.49612,0.9628785,33.434395,0.9890744,0.3112284342447917,0.0
849,0.0020425753,0.0010277794,0.001014796,29.881,0.93626356,29.936213,0.9656303,0.2994588216145833,0.0
850,0.0027550224,0.002427943,0.00032707935,26.147614,0.9701855,34.853466,0.9632807,0.2745259602864583,0.0
851,0.008806965,0.008127832,0.0006791333,20.900253,0.9270561,31.680449,0.97912574,0.3174031575520833,0.0
852,0.0044644503,0.0036496678,0.0008147826,24.377466,0.91193277,30.889582,0.98406386,0.3223164876302083,0.0
853,0.018416263,0.017876333,0.0005399299,17.477215,0.84565336,32.676624,0.967647,0.3073527018229167,0.0
854,0.0021951369,0.0013893432,0.00080579374,28.571903,0.9882388,30.93776,0.97014594,0.3184611002604167,0.0
855,0.0016201772,0.0006638082,0.000956369,31.779572,0.958203,30.193745,0.9523382,0.3424784342447917,0.0
856,0.0019732362,0.0016097893,0.00036344695,27.932308,0.9672722,34.395588,0.9752694,0.2977294921875,0.0
857,0.0015090614,0.0010066001,0.00050246133,29.97143,0.9430378,32.98897,0.96913797,0.319549560546875,0.0
858,0.0029634954,0.0026247473,0.00033874818,25.809126,0.95174533,34.70123,0.98110896,0.3206787109375,0.0
859,0.011554919,0.010911727,0.000643192,19.621063,0.9086359,31.916592,0.990932,0.3046061197916667,0.0
860,0.0049091824,0.0043146443,0.00059453817,23.65055,0.9000866,32.2582,0.9792791,0.3086140950520833,0.0
861,0.0034086397,0.0029125852,0.00049605453,25.357212,0.9440217,33.044704,0.9726297,0.2959798177083333,0.0
862,0.008694235,0.008022417,0.00067181804,20.956945,0.8326059,31.727482,0.97191906,0.3145853678385417,0.0
863,0.0013694416,0.0006654621,0.0007039795,31.768764,0.94498825,31.524399,0.96792287,0.321807861328125,0.0
864,0.0036874914,0.0029346552,0.0007528363,25.324429,0.8966174,31.232994,0.95119506,0.3140462239583333,0.0
865,0.0023491208,0.0020065876,0.0003425332,26.975416,0.9684003,34.652973,0.98772293,0.3145751953125,0.0
866,0.0056448434,0.00545237,0.00019247376,22.634146,0.9565576,37.15628,0.9747632,0.3245849609375,0.0
